Date,Symbol,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
,,AAPL,TSLA,MSFT,GOOG,AMZN,NVDA,META,NFLX,JPM,BAC
2025-02-10,BAC,,,,,,,,,,46.10562515258789
2025-02-10,GOOG,,,,187.7601318359375,,,,,,
2025-02-10,JPM,,,,,,,,,269.3807373046875,
2025-02-10,META,,,,,,,716.2112426757812,,,
2025-02-10,MSFT,,,410.6412353515625,,,,,,,
2025-02-10,NFLX,,,,,,,,1027.5999755859375,,
2025-02-10,NVDA,,,,,,133.54844665527344,,,,
2025-02-10,TSLA,,350.7300109863281,,,,,,,,
2025-02-11,AAPL,232.3153533935547,,,,,,,,,
2025-02-11,AMZN,,,,,232.75999450683594,,,,,
2025-02-11,BAC,,,,,,,,,,46.224178314208984
2025-02-11,GOOG,,,,186.63278198242188,,,,,,
2025-02-11,JPM,,,,,,,,,273.3065490722656,
2025-02-11,META,,,,,,,718.6072387695312,,,
2025-02-11,MSFT,,,409.8642272949219,,,,,,,
2025-02-11,NFLX,,,,,,,,1008.0800170898438,,
2025-02-11,NVDA,,,,,,132.77857971191406,,,,
2025-02-11,TSLA,,328.5,,,,,,,,
2025-02-12,AAPL,236.55978393554688,,,,,,,,,
2025-02-12,AMZN,,,,,228.92999267578125,,,,,
2025-02-12,BAC,,,,,,,,,,45.651187896728516
2025-02-12,GOOG,,,,184.99661254882812,,,,,,
2025-02-12,JPM,,,,,,,,,273.7637634277344,
2025-02-12,META,,,,,,,724.1780395507812,,,
2025-02-12,MSFT,,,407.4734191894531,,,,,,,
2025-02-12,NFLX,,,,,,,,1027.31005859375,,
2025-02-12,NVDA,,,,,,131.11883544921875,,,,
2025-02-12,TSLA,,336.510009765625,,,,,,,,
2025-02-13,AAPL,241.21368408203125,,,,,,,,,
2025-02-13,AMZN,,,,,230.3699951171875,,,,,
2025-02-13,BAC,,,,,,,,,,45.76974105834961
2025-02-13,GOOG,,,,187.44090270996094,,,,,,
2025-02-13,JPM,,,,,,,,,274.62841796875,
2025-02-13,META,,,,,,,727.352783203125,,,
2025-02-13,MSFT,,,408.9676818847656,,,,,,,
2025-02-13,NFLX,,,,,,,,1043.68994140625,,
2025-02-13,NVDA,,,,,,135.26815795898438,,,,
2025-02-13,TSLA,,355.94000244140625,,,,,,,,
2025-02-14,AAPL,244.2796630859375,,,,,,,,,
2025-02-14,AMZN,,,,,228.67999267578125,,,,,
2025-02-14,BAC,,,,,,,,,,46.39211654663086
2025-02-14,GOOG,,,,186.43324279785156,,,,,,
2025-02-14,JPM,,,,,,,,,274.8967590332031,
2025-02-14,META,,,,,,,735.4492797851562,,,
2025-02-14,MSFT,,,406.86572265625,,,,,,,
2025-02-14,NFLX,,,,,,,,1058.5999755859375,,
2025-02-14,NVDA,,,,,,138.8275909423828,,,,
2025-02-14,TSLA,,355.8399963378906,,,,,,,,
2025-02-18,AAPL,244.14984130859375,,,,,,,,,
2025-02-18,AMZN,,,,,226.64999389648438,,,,,
2025-02-18,BAC,,,,,,,,,,45.96731948852539
2025-02-18,GOOG,,,,185.36575317382812,,,,,,
2025-02-18,JPM,,,,,,,,,278.2362060546875,
2025-02-18,META,,,,,,,715.1829223632812,,,
2025-02-18,MSFT,,,408.0711364746094,,,,,,,
2025-02-18,NFLX,,,,,,,,1035.8499755859375,,
2025-02-18,NVDA,,,,,,139.37750244140625,,,,
2025-02-18,TSLA,,354.1099853515625,,,,,,,,
2025-02-19,AAPL,244.54930114746094,,,,,,,,,
2025-02-19,AMZN,,,,,226.6300048828125,,,,,
2025-02-19,BAC,,,,,,,,,,45.45360565185547
2025-02-19,GOOG,,,,186.69265747070312,,,,,,
2025-02-19,JPM,,,,,,,,,277.5404968261719,
2025-02-19,META,,,,,,,702.6038818359375,,,
2025-02-19,MSFT,,,413.18145751953125,,,,,,,
2025-02-19,NFLX,,,,,,,,1043.3299560546875,,
2025-02-19,NVDA,,,,,,139.20751953125,,,,
2025-02-19,TSLA,,360.55999755859375,,,,,,,,
2025-02-20,AAPL,245.508056640625,,,,,,,,,
2025-02-20,AMZN,,,,,222.8800048828125,,,,,
2025-02-20,BAC,,,,,,,,,,44.752193450927734
2025-02-20,GOOG,,,,186.2037811279297,,,,,,
2025-02-20,JPM,,,,,,,,,265.16668701171875,
2025-02-20,META,,,,,,,693.6885986328125,,,
2025-02-20,MSFT,,,415.3674621582031,,,,,,,
2025-02-20,NFLX,,,,,,,,1024.5400390625,,
2025-02-20,NVDA,,,,,,140.08738708496094,,,,
2025-02-20,TSLA,,354.3999938964844,,,,,,,,
2025-02-21,AAPL,245.22842407226562,,,,,,,,,
2025-02-21,AMZN,,,,,216.5800018310547,,,,,
2025-02-21,BAC,,,,,,,,,,44.26811981201172
2025-02-21,GOOG,,,,181.15560913085938,,,,,,
2025-02-21,JPM,,,,,,,,,262.62237548828125,
2025-02-21,META,,,,,,,682.4173583984375,,,
2025-02-21,MSFT,,,407.4619445800781,,,,,,,
2025-02-21,NFLX,,,,,,,,1003.1500244140625,,
2025-02-21,NVDA,,,,,,134.40829467773438,,,,
2025-02-21,TSLA,,337.79998779296875,,,,,,,,
2025-02-24,AAPL,246.77639770507812,,,,,,,,,
2025-02-24,AMZN,,,,,212.7100067138672,,,,,
2025-02-24,BAC,,,,,,,,,,43.9223518371582
2025-02-24,GOOG,,,,180.7665252685547,,,,,,
2025-02-24,JPM,,,,,,,,,259.7401123046875,
2025-02-24,META,,,,,,,667.0228881835938,,,
2025-02-24,MSFT,,,403.2596740722656,,,,,,,
2025-02-24,NFLX,,,,,,,,988.469970703125,,
2025-02-24,NVDA,,,,,,130.25897216796875,,,,
2025-02-24,TSLA,,330.5299987792969,,,,,,,,
2025-02-25,AAPL,246.71646118164062,,,,,,,,,
2025-02-25,AMZN,,,,,212.8000030517578,,,,,
2025-02-25,BAC,,,,,,,,,,43.40863800048828
2025-02-25,GOOG,,,,176.95545959472656,,,,,,
2025-02-25,JPM,,,,,,,,,255.82423400878906,
2025-02-25,META,,,,,,,656.4105224609375,,,
2025-02-25,MSFT,,,397.17083740234375,,,,,,,
